x,y,r,g,b,line,col,level
382,405,233,119,95,7,5,2
389,408,179,110,52,7,5,3
428,401,229,166,104,7,6,0
438,405,230,106,85,7,6,1
444,407,72,64,54,7,6,2
453,410,205,164,118,7,6,3
486,405,81,92,95,7,7,0
494,409,219,138,59,7,7,1
503,410,173,131,98,7,7,2
509,408,169,103,44,7,7,3
545,409,233,172,106,7,8,0
553,407,226,103,85,7,8,1
561,411,95,58,41,7,8,2
569,406,98,61,59,7,8,3
603,412,99,60,58,7,9,0
611,412,201,187,144,7,9,1
620,406,232,145,72,7,9,2
628,402,252,211,194,7,9,3
659,408,243,192,132,7,10,0
669,400,171,55,54,7,10,1
675,400,211,194,155,7,10,2
684,400,101,62,57,7,10,3
719,403,85,94,106,7,11,0
728,402,155,53,48,7,11,1
735,401,245,204,172,7,11,2
744,400,110,74,60,7,11,3
778,404,192,120,63,7,12,0
786,405,84,95,106,7,12,1
795,404,235,147,65,7,12,2
804,404,200,179,133,7,12,3
834,403,143,113,93,7,13,0
844,402,224,99,84,7,13,1
850,401,71,57,49,7,13,2
858,399,246,176,112,7,13,3
892,399,226,144,69,7,14,0
901,399,171,58,56,7,14,1
909,398,106,67,71,7,14,2
915,396,238,169,111,7,14,3
947,397,84,95,100,7,15,0
956,395,152,49,54,7,15,1
963,395,192,117,57,7,15,2
971,396,93,56,47,7,15,3
1002,394,240,179,120,7,16,0
1009,395,94,57,59,7,16,1
1017,394,222,109,99,7,16,2
1026,395,130,76,48,7,16,3
1056,397,68,84,91,7,17,0
1063,393,164,94,50,7,17,1
1071,391,115,74,70,7,17,2
1080,396,223,135,99,7,17,3
1110,400,230,153,88,7,18,0
1117,401,71,58,49,7,18,1
1124,399,222,122,94,7,18,2
1133,398,83,91,98,7,18,3
1162,399,140,157,137,7,19,0
1165,396,171,57,64,7,19,1
1191,402,104,83,59,7,19,2
1181,394,253,205,182,7,19,3
134,454,242,134,105,8,0,0
125,455,81,91,92,8,0,1
116,456,174,105,47,8,0,2
107,456,251,204,186,8,0,3
141,452,118,80,77,8,1,0
147,459,241,179,113,8,1,1
155,463,225,99,89,8,1,2
162,462,82,80,82,8,1,3
194,456,73,74,88,8,2,0
202,463,226,113,98,8,2,1
211,462,55,51,43,8,2,2
220,461,217,132,63,8,2,3
251,459,239,194,148,8,3,0
261,460,88,98,106,8,3,1
268,460,223,139,60,8,3,2
274,460,63,53,46,8,3,3
307,459,107,71,57,8,4,0
316,457,238,180,117,8,4,1
322,458,89,95,98,8,4,2
333,458,148,64,63,8,4,3
367,451,177,103,39,8,5,0
375,456,153,47,47,8,5,1
382,457,228,101,86,8,5,2
390,457,108,70,40,8,5,3
427,453,111,70,68,8,6,0
435,459,189,159,118,8,6,1
446,460,217,138,63,8,6,2
453,457,104,82,60,8,6,3
